Generated Answer,Ground Truth,Context1,Context2,Context3
"According to the provided document, there are three types of urban local bodies:
Nagar Panchayat: This is for smaller cities or towns with a population less than 3 lakh.
Municipal Council: This is for cities or towns with a population between 3 lakh and 5 lakh.
Municipal Corporation: This is for larger cities or metropolitan areas with a population of more than 5 lakh.
To find out which type an urban local body is, one can refer to the document's example table:

City/Town	Type of Urban Local Body
...	Nagar Panchayat
...	Municipal Council
...	Municipal Corporation
Note that the exact functioning of wards may differ from state to state, depending on local rules and regulations.","According to the context, there are three types of urban local bodies:

1. Nagar Panchayat (city council)
2. Municipal Council or City Council
3. Municipal Corporation

These can be distinguished by the size and complexity of the city. The table provided in the context lists examples of cities and their corresponding types of urban local bodies.","live in or the city nearest to your town or village. How will you find out if they have a Nagar Panchayat, Municipal Council or Municipal Corporation? Draw a table with the names of the cities and the type of urban local body each of them has. Æ How do urban local bodies fund their activities? (Hint: Look carefully at the pictures of the functions performed by Indore Municipal Corporation in Figure 12.4 on page 178.) Are some of them paid services? Sameer: Hello! I haven’t seen you around here before. Are you new to this village? Anita: Hello! Yes, I’m visiting my grand- parents who live nearby. I am from the city. It’s quite different from here! Sameer: Oh, really? What’s it like in
the city? 12_100724_v3.indd 17912_100724_v3.indd 179 11-Jul-24 5:01:59 PM11-Jul-24 5:01:59 PM","175 12 ― Grassroots Democracy – Part 3 LET’S EXPLORE In Fig. 12.2 above, what similarities and differences do y ou notice between the Panchayati Raj system and the urban local government? Urban Local Bodies Local government structures in urban areas are called ‘urban local bodies’. They are decentralised, which means that instead of operating under a central authority at the Published by Survey of India Scale 1:16M Union Government at the
national level State Government Local Government Urban – Urban Local Bodies Municipal Corporation or Municipal Council or City Council
(Nagar Panchayat) Ward Commitee People of the Ward Rural –
Panchayati Raj Institutions Zila
Panchayat Gram Panchayat Gram Sabha Panchayat
Samiti Fig. 12.2 12_100724_v3.indd 17512_100724_v3.indd 175 11-Jul-24 5:01:45 PM11-Jul-24 5:01:45 PM","176 Exploring Society: India and Beyond
Governance and Democracy top, the local communities have a direct say on how their areas are managed or the issues they face. It is a mechanism for citizens living in an area to come together and take decisions about what is best for them. Cities and towns are divided into smaller units called ‘wards’, and the ward committees facilitate activities such as conducting health camps, organising a campaign against the use of single-use plastics, and so on. They also keep an eye on anything that might go wrong — a water leak, a blocked drain, a damaged road, etc. — and report such problems to the authorities. However , the precise functioning of wards differs from State to State, depending on the rules they make. Altogether , urban local bodies are responsible for a range of functions — helping take care of the infrastructure, maintaining the burial ground, garbage collection and disposal, checking the implementation of government"
"Based on the provided context, a Municipal Corporation is a type of urban local body that is responsible for administering a city or town. According to Figure 12.1, the Municipal Corporation of Greater Mumbai was created in 1865, and according to the text, it mentions the Madras Corporation (now Greater Chennai Corporation) as the oldest municipal institution in India, established in 1688.","Based on the context provided, a Municipal Corporation is a type of urban local body. The specific mention in the context is ""The Municipal Corporation of Greater Mumbai (originally ‘Bombay Municipal Corporation’) was created in 1865.""","173 12 ― Grassroots Democracy – Part 3 Grassroots Democracy – Part 3 Local Government in
Urban Areas CHAPTER12 I desire that … a full-fledged local body should be immediately formed, … so that people may know really what is an administration, what are the franchise, what are the powers, what are the rights and what are the privileges in a small sphere, in their own town, in their own villages.","What are urban local bodies
and what are their functions?
Why are they important in governance and democracy? The Big Questions Fig. 12.1. The Municipal Corporation of Greater Mumbai (originally ‘Bombay Municipal Corporation’) was created in 1865. — Rustom K. Sidhwa, Member, Constituent Assembly (during the Constituent Assembly Debates, 13 October 1949) 12_100724_v3.indd 17312_100724_v3.indd 173 11-Jul-24 5:01:44 PM11-Jul-24 5:01:44 PM","177 12 ― Grassroots Democracy – Part 3 able to perform their functions efficiently, people living in the city must also perform their duties, which means that they must show care and concern for their area (remember , this is a participatory democracy). For instance, if people carefully follow instructions regarding waste segregation, garbage collection becomes easier; or if they notice a water leakage in a street, reporting it promptly will prevent further wastage of precious water . LET’S EXPLORE Can you think of four or five more actions that respon sible citizens might take to help their area of the city? The Madras Corporation (now Greater Chennai Corporation), established on 29 September 1688, is the oldest municipal institution in India. The East India Company issued a charter the previous year constituting the town of ‘Fort St. George’ and all territories within 16 km from the Fort into a corporation. A Parliamentary Act of 1792 gave the Madras Corporation power

the previous year constituting the town of ‘Fort St. George’ and all territories within 16 km from the Fort into a corporation. A Parliamentary Act of 1792 gave the Madras Corporation power to levy municipal taxes in the city, which is when the municipal administration properly began.
Fig. 12.3. The Madras Corporation 12_100724_v3.indd 17712_100724_v3.indd 177 11-Jul-24 5:01:47 PM11-Jul-24 5:01:47 PM"
"A Municipal Council (Nagar Palika) is the highest urban local body for cities with a population between 1 to 10 lakhs. It is responsible for performing various functions and activities in these cities, including collecting waste, managing water supply, and ensuring overall cleanliness and maintenance of public spaces.",A Municipal Council (Nagar Palika) is a type of urban local body that has the highest authority in cities or towns with a population between 1 and 10 lakhs.,"179 12 ― Grassroots Democracy – Part 3 THINK ABOUT IT Indore in Madhya Pradesh has been awarded the cleanest city in India under the Swachh Survekshan government scheme for seven years in a row. What could have been the role of Indore citizens in this achievement? As we see, Chennai and Indore have a Municipal Corpo- ration at the top of their urban bodies. Only cities with a population above 10 lakhs have a Municipal Corporation (also called ‘Mahanagar Nigam’) as their highest body. Between 1 and 10 lakhs, the highest body is a Municipal Council (also called ‘Nagar Palika’). Cities and towns with smaller populations have a Nagar Panchayat. LET’S EXPLORE Æ Select a few cities, from your State and from a few neighbouring States. These may include the city you
live in or the city nearest to your town or village. How will you find out if they have a Nagar Panchayat, Municipal Council or Municipal Corporation? Draw a table with the","live in or the city nearest to your town or village. How will you find out if they have a Nagar Panchayat, Municipal Council or Municipal Corporation? Draw a table with the names of the cities and the type of urban local body each of them has. Æ How do urban local bodies fund their activities? (Hint: Look carefully at the pictures of the functions performed by Indore Municipal Corporation in Figure 12.4 on page 178.) Are some of them paid services? Sameer: Hello! I haven’t seen you around here before. Are you new to this village? Anita: Hello! Yes, I’m visiting my grand- parents who live nearby. I am from the city. It’s quite different from here! Sameer: Oh, really? What’s it like in
the city? 12_100724_v3.indd 17912_100724_v3.indd 179 11-Jul-24 5:01:59 PM11-Jul-24 5:01:59 PM","177 12 ― Grassroots Democracy – Part 3 able to perform their functions efficiently, people living in the city must also perform their duties, which means that they must show care and concern for their area (remember , this is a participatory democracy). For instance, if people carefully follow instructions regarding waste segregation, garbage collection becomes easier; or if they notice a water leakage in a street, reporting it promptly will prevent further wastage of precious water . LET’S EXPLORE Can you think of four or five more actions that respon sible citizens might take to help their area of the city? The Madras Corporation (now Greater Chennai Corporation), established on 29 September 1688, is the oldest municipal institution in India. The East India Company issued a charter the previous year constituting the town of ‘Fort St. George’ and all territories within 16 km from the Fort into a corporation. A Parliamentary Act of 1792 gave the Madras Corporation power  the previous year constituting the town of ‘Fort St. George’ and all territories within 16 km from the Fort into a corporation. A Parliamentary Act of 1792 gave the Madras Corporation power"
"According to the provided context, a Nagar Panchayat is a type of local government body that exists at the town or city level, serving areas with smaller populations (less than 1 lakh). It is one of the three types of urban local bodies, along with Municipal Council and Municipal Corporation.",A Nagar Panchayat is a form of local government for cities and towns with smaller populations (less than 1 lakh).,"Panchayati Raj System Like every village in India, the Lakshmanpur people have a system of local government called ‘Panchayat’, which refers to a village council. Panchayats bring governance closer to the people, making it possible for them to actively participate in decision-making processes. That is why the Panchayat system, also known as Panchayati Raj, is a form of self-government. Panchayats play a vital role in addressing local issues, promoting development and ensuring that the benefits of government schemes reach the grassroots level. District level Block level Village level Village Parishad / Gram Panchayat District Panchayat/
Zila Parishad Block Panchayat / Panchayat Samiti / Mandal Parishad Fig. 11.1 11_100724_v5.indd 16411_100724_v5.indd 164 11-Jul-24 4:27:19 PM11-Jul-24 4:27:19 PM","179 12 ― Grassroots Democracy – Part 3 THINK ABOUT IT Indore in Madhya Pradesh has been awarded the cleanest city in India under the Swachh Survekshan government scheme for seven years in a row. What could have been the role of Indore citizens in this achievement? As we see, Chennai and Indore have a Municipal Corpo- ration at the top of their urban bodies. Only cities with a population above 10 lakhs have a Municipal Corporation (also called ‘Mahanagar Nigam’) as their highest body. Between 1 and 10 lakhs, the highest body is a Municipal Council (also called ‘Nagar Palika’). Cities and towns with smaller populations have a Nagar Panchayat. LET’S EXPLORE Æ Select a few cities, from your State and from a few neighbouring States. These may include the city you
live in or the city nearest to your town or village. How will you find out if they have a Nagar Panchayat, Municipal Council or Municipal Corporation? Draw a table with the","175 12 ― Grassroots Democracy – Part 3 LET’S EXPLORE In Fig. 12.2 above, what similarities and differences do y ou notice between the Panchayati Raj system and the urban local government? Urban Local Bodies Local government structures in urban areas are called ‘urban local bodies’. They are decentralised, which means that instead of operating under a central authority at the Published by Survey of India Scale 1:16M Union Government at the
national level State Government Local Government Urban – Urban Local Bodies Municipal Corporation or Municipal Council or City Council
(Nagar Panchayat) Ward Commitee People of the Ward Rural –
Panchayati Raj Institutions Zila
Panchayat Gram Panchayat Gram Sabha Panchayat
Samiti Fig. 12.2 12_100724_v3.indd 17512_100724_v3.indd 175 11-Jul-24 5:01:45 PM11-Jul-24 5:01:45 PM"
"According to the document, urban areas with a Municipal Corporation are:
Chennai
Indore
Cities with a population above 10 lakhs.","According to the context, urban areas with a Municipal Corporation include:

1. Chennai
2. Indore (Madhya Pradesh)

These cities have a population above 10 lakhs and therefore have a Municipal Corporation as their highest body.","173 12 ― Grassroots Democracy – Part 3 Grassroots Democracy – Part 3 Local Government in
Urban Areas CHAPTER12 I desire that … a full-fledged local body should be immediately formed, … so that people may know really what is an administration, what are the franchise, what are the powers, what are the rights and what are the privileges in a small sphere, in their own town, in their own villages.

What are urban local bodies
and what are their functions?
Why are they important in governance and democracy? The Big Questions Fig. 12.1. The Municipal Corporation of Greater Mumbai (originally ‘Bombay Municipal Corporation’) was created in 1865. — Rustom K. Sidhwa, Member, Constituent Assembly (during the Constituent Assembly Debates, 13 October 1949) 12_100724_v3.indd 17312_100724_v3.indd 173 11-Jul-24 5:01:44 PM11-Jul-24 5:01:44 PM","179 12 ― Grassroots Democracy – Part 3 THINK ABOUT IT Indore in Madhya Pradesh has been awarded the cleanest city in India under the Swachh Survekshan government scheme for seven years in a row. What could have been the role of Indore citizens in this achievement? As we see, Chennai and Indore have a Municipal Corpo- ration at the top of their urban bodies. Only cities with a population above 10 lakhs have a Municipal Corporation (also called ‘Mahanagar Nigam’) as their highest body. Between 1 and 10 lakhs, the highest body is a Municipal Council (also called ‘Nagar Palika’). Cities and towns with smaller populations have a Nagar Panchayat. LET’S EXPLORE Æ Select a few cities, from your State and from a few neighbouring States. These may include the city you
live in or the city nearest to your town or village. How will you find out if they have a Nagar Panchayat, Municipal Council or Municipal Corporation? Draw a table with the","live in or the city nearest to your town or village. How will you find out if they have a Nagar Panchayat, Municipal Council or Municipal Corporation? Draw a table with the names of the cities and the type of urban local body each of them has. Æ How do urban local bodies fund their activities? (Hint: Look carefully at the pictures of the functions performed by Indore Municipal Corporation in Figure 12.4 on page 178.) Are some of them paid services? Sameer: Hello! I haven’t seen you around here before. Are you new to this village? Anita: Hello! Yes, I’m visiting my grand- parents who live nearby. I am from the city. It’s quite different from here! Sameer: Oh, really? What’s it like in
the city? 12_100724_v3.indd 17912_100724_v3.indd 179 11-Jul-24 5:01:59 PM11-Jul-24 5:01:59 PM"
"According to the document, the French cartographer who created a map of India in the 1720s is Guillaume de l'Isle. This map is shown as Map 2, titled ""The subcontinent, from the early-eighteenth-century Atlas Nouveau of Guillaume de l’Isle"".","According to the context, a French cartographer created a map of India in the 1720s (Map 2).","1 INTRODUCTION: TRA... T ake a look at Maps 1 and 2. Map 1 was made in
1154 CE by the Arab geographer Al-Idrisi. The section reproduced here is a detail of the Indian subcontinent from his larger map of the world. Map 2 was made in the 1720s by a French cartographer. The two maps are quite different even though they are of the same area. In al-Idrisi’s map, south India is where we island at the top. Place-names are marked in Arabic, Cartographer A person who makes maps. INTRODUCTION: TRACING CHANGES THROUGH A THOUSAND YEARS Map 1 A section of the world map drawn by the geographer al-Idrisi in the twelfth century showing the Indian subcontinent from land to sea.","2 and there are some well-known names like Kanauj in Uttar Pradesh (spelt in the map as Qanauj). Map 2 was made nearly 600 years after Map 1, during this period, information about the subcontinent had changed considerably. This map seems more familiar to us and the coastal areas in particular are surprisingly detailed. This map was used by European sailors and merchants on their voyages. Look at the areas in the interior of the subcontinent on Map 2. Are they as detailed as those on the coast? Follow the course of the River Ganga and see how it is shown. Why do you think there is a difference in the level of detail and accuracy between the coastal and inland areas in this map? Map 2 The subcontinent, from the early-eighteenth- century Atlas Nouveau of Guillaume de l’Isle. ?","20 OUR PASTS – III Fig. 14 a, b, c – Expansion of British territorial power in India Look at these maps along with a present-day political map of India. In each of these maps, try and identify the different parts of India that were not under British rule. Fig. 14 a – India, 1797 Fig. 14 b – India, 1840 Fig. 14 c – India, 1857 chap 1-4.indd 20 4/22/2022 2:49:40 PM Reprint 2024-25"
"Based on the provided context, coastal areas were more detailed in old maps than inland areas because these maps were used by European sailors and merchants on their voyages. The level of detail and accuracy was higher in coastal areas because they were more important for navigation and trade purposes. Inland areas, on the other hand, were less detailed as they did not have the same level of importance or relevance to maritime activities.","Based on the context, coastal areas in old maps were more detailed than inland areas because Map 2, an early-eighteenth-century Atlas Nouveau of Guillaume de l'Isle, was used by European sailors and merchants on their voyages. The map's users required accurate information about coastal areas to navigate safely and efficiently. As a result, the mapmakers focused more attention on detailing these areas.","2 and there are some well-known names like Kanauj in Uttar Pradesh (spelt in the map as Qanauj). Map 2 was made nearly 600 years after Map 1, during this period, information about the subcontinent had changed considerably. This map seems more familiar to us and the coastal areas in particular are surprisingly detailed. This map was used by European sailors and merchants on their voyages. Look at the areas in the interior of the subcontinent on Map 2. Are they as detailed as those on the coast? Follow the course of the River Ganga and see how it is shown. Why do you think there is a difference in the level of detail and accuracy between the coastal and inland areas in this map? Map 2 The subcontinent, from the early-eighteenth- century Atlas Nouveau of Guillaume de l’Isle. ?","29 2 – Oceans and Continents The Distribution of Water and
Land on the Earth As it happens, oceans and continents are not distributed equally between the Northern and Southern Hemispheres. Fig. 2.2. Maps of the Earth as seen from above the North Pole (left) and above the South Pole (right). Let us examine the two maps in Fig. 2.2. Here too, the blue areas consist of oceans, along with their smaller extensions, which have various names — ‘sea’, ‘bay’, ‘gulf’, etc. LET’S EXPLORE Æ What are the circular lines in each map called? And do you know what the lines radiating out of the two poles are called? (Hint: you studied them in the previous chapter, but here they are presented differently.) Æ Which hemisphere holds more water? Æ What do you think could be the approximate proportion of water to land in the Northern Hemisphere? And in the Southern Hemisphere? Discuss in groups. Æ Are all the oceans connected with one another , or are there separations between them?","whole world. In a map, you look at the surface as if you are viewing it from the top. An atlas is a book or collection of maps. As you will discover , there are several kinds of maps —  physical maps, which mainly show some natural features such as mountains, oceans and rivers (see an example in Fig. 5.2 in this textbook)  political maps, which show details of countries or states, boundaries, cities, etc. (for instance, a map of India with all its States, Union Territories and their capitals)  thematic maps, with a specific kind of information (examples include Fig. 6.3 and Fig. 8.1 in this textbook). In addition, there are three important components of maps—distance, direction and symbols. You have already 1-100724-v9.indd 91-100724-v9.indd 9 11-Jul-24 4:20:20 PM11-Jul-24 4:20:20 PM"
"In the 13th century, ""Hindustan"" referred to the areas of Punjab, Haryana, and the lands between the Ganga and Yamuna rivers. It did not include southern India. The term was used in a political sense to describe lands that were part of the Delhi Sultanate.","According to the context, in the 13th century, ""Hindustan"" referred to the areas of Punjab, Haryana, and lands between the Ganga and Yamuna rivers. It was used in a political sense to describe lands that were part of the Delhi Sultanate, and it did not include south India.","understand it as “India”, the modern . When the term was used in the thirteenth century by meant the areas of Punjab, Haryana and the lands between the Ganga and Yamuna. He used the term in a political sense for lands that were a part of the the term never included south India. By contrast, in the early sixteenth century, Babur used Hindustan to describe the geography, the fauna and the culture of the inhabitants of the subcontinent. As we will see later in the chapter, this was somewhat similar to the way the fourteenth-century poet Amir Khusrau used the word “Hind”. While the idea of a geographical and cultural entity like “India” did exist, the term “Hindustan” did not carry the political and national meanings which we associate with it today. Historians today have to be careful about the terms they use because they meant different things in the past. Take, for example, a simple term like “foreigner”. It is used today to mean someone who is not an Indian.","15 INTRODUCTION: TRA... 5. What were some of the major religious developments during this period? Let’s understand 6. In what ways has the meaning of the term “Hindustan” changed over the centuries? 7. How were the affairs of regulated? Let’s discuss manuscripts? 10. How do historians divide the past into periods? Do they face any problems in doing so? Let’s do 11. Compare either Map 1 or Map 2 with the present-day map of the subcontinent, listing as many similarities 12. Find out where records are kept in your village or city. Who writes these records? Is there an archive? Who manages it? What kinds of documents are stored there? Who are the people who use it?","Persian emperor launched a military campaign and gained control of the region of the Indus River , which, as we saw, was earlier called ‘Sindhu’. So, it is no surprise that in their earliest records and stone inscriptions, the Persians referred to India as ‘Hind’, ‘Hidu’ or ‘Hindu’, which are adaptations in their language of ‘Sindhu’. (Note that in ancient Persian, ‘Hindu’ is a purely geographical term; it does not refer here to the Hindu religion.) Based on these Persian sources, the ancient Greeks named the region ‘Indoi’ or ‘Indike’. They dropped the initial letter ‘h’ of ‘Hindu’ because this letter did not exist in their Greek language. Sindhu Hindhu Indoi / Indike The ancient Chinese also interacted with India. In several texts, they refer to India as ‘Yintu’ or ‘Yindu’. This word also originally comes from ‘Sindhu’, in the following manner: Sindhu Hindhu Indu Yindu 5-100724-v16.indd 815-100724-v16.indd 81 11-Jul-24 4:25:08 PM11-Jul-24 4:25:08 PM"
"According to the provided context, Babur used the term ""Hindustan"" to describe the geography, fauna, and culture of the inhabitants of the subcontinent. This usage was different from earlier centuries where the term referred to specific regions or areas, such as Punjab, Haryana, and lands between the Ganga and Yamuna.","According to the context, Babur used the term ""Hindustan"" to describe the geography, fauna, and culture of the inhabitants of the subcontinent in the early sixteenth century. He did not use it as a political or national term, unlike modern connotations.","understand it as “India”, the modern . When the term was used in the thirteenth century by meant the areas of Punjab, Haryana and the lands between the Ganga and Yamuna. He used the term in a political sense for lands that were a part of the the term never included south India. By contrast, in the early sixteenth century, Babur used Hindustan to describe the geography, the fauna and the culture of the inhabitants of the subcontinent. As we will see later in the chapter, this was somewhat similar to the way the fourteenth-century poet Amir Khusrau used the word “Hind”. While the idea of a geographical and cultural entity like “India” did exist, the term “Hindustan” did not carry the political and national meanings which we associate with it today. Historians today have to be careful about the terms they use because they meant different things in the past. Take, for example, a simple term like “foreigner”. It is used today to mean someone who is not an Indian.","Persian emperor launched a military campaign and gained control of the region of the Indus River , which, as we saw, was earlier called ‘Sindhu’. So, it is no surprise that in their earliest records and stone inscriptions, the Persians referred to India as ‘Hind’, ‘Hidu’ or ‘Hindu’, which are adaptations in their language of ‘Sindhu’. (Note that in ancient Persian, ‘Hindu’ is a purely geographical term; it does not refer here to the Hindu religion.) Based on these Persian sources, the ancient Greeks named the region ‘Indoi’ or ‘Indike’. They dropped the initial letter ‘h’ of ‘Hindu’ because this letter did not exist in their Greek language. Sindhu Hindhu Indoi / Indike The ancient Chinese also interacted with India. In several texts, they refer to India as ‘Yintu’ or ‘Yindu’. This word also originally comes from ‘Sindhu’, in the following manner: Sindhu Hindhu Indu Yindu 5-100724-v16.indd 815-100724-v16.indd 81 11-Jul-24 4:25:08 PM11-Jul-24 4:25:08 PM","83 5 ― India, That Is Bharat Another Chinese word, also derived from ‘Sindhu’, was ‘Tianzhu’; but this word could also be understood as ‘heavenly master’. This reflects the respect the ancient Chinese had for India as the land of the Buddha. You are probably quite familiar with a more recent term, ‘Hindustān’, but you may not know that it was first used in a Persian inscription some 1,800 years ago! Later on, this became the term used by most invaders of India to describe the
Indian Subcontinent. DON’T MISS OUT Xuanzang (formerly spelt Hiuen Tsang, Hsuan Tsang, etc.) travelled from China to India in the 7th century CE. He visited many parts of India, met scholars, collected Buddhist texts, and returned to China after 17 years. There, he translated the manuscripts he took back with him from Sanskrit into Chinese. Several other Chinese scholars visited India over the centuries. LET’S EXPLORE Can you complete this table of the many names of India? Persian Greek"
"According to the document, Amir Khusrau understood ""Hind"" to refer to the areas of Punjab, Haryana, and the lands between the Ganga and Yamuna rivers. This usage did not include South India. In a political sense, he used the term to describe the region that was part of the Delhi Sultanate.","According to the context, Amir Khusrau understood ""Hind"" to refer to the areas of Punjab, Haryana, and the lands between the Ganga and Yamuna. This understanding was geographical and cultural, but did not include South India.","understand it as “India”, the modern . When the term was used in the thirteenth century by meant the areas of Punjab, Haryana and the lands between the Ganga and Yamuna. He used the term in a political sense for lands that were a part of the the term never included south India. By contrast, in the early sixteenth century, Babur used Hindustan to describe the geography, the fauna and the culture of the inhabitants of the subcontinent. As we will see later in the chapter, this was somewhat similar to the way the fourteenth-century poet Amir Khusrau used the word “Hind”. While the idea of a geographical and cultural entity like “India” did exist, the term “Hindustan” did not carry the political and national meanings which we associate with it today. Historians today have to be careful about the terms they use because they meant different things in the past. Take, for example, a simple term like “foreigner”. It is used today to mean someone who is not an Indian.","Persian emperor launched a military campaign and gained control of the region of the Indus River , which, as we saw, was earlier called ‘Sindhu’. So, it is no surprise that in their earliest records and stone inscriptions, the Persians referred to India as ‘Hind’, ‘Hidu’ or ‘Hindu’, which are adaptations in their language of ‘Sindhu’. (Note that in ancient Persian, ‘Hindu’ is a purely geographical term; it does not refer here to the Hindu religion.) Based on these Persian sources, the ancient Greeks named the region ‘Indoi’ or ‘Indike’. They dropped the initial letter ‘h’ of ‘Hindu’ because this letter did not exist in their Greek language. Sindhu Hindhu Indoi / Indike The ancient Chinese also interacted with India. In several texts, they refer to India as ‘Yintu’ or ‘Yindu’. This word also originally comes from ‘Sindhu’, in the following manner: Sindhu Hindhu Indu Yindu 5-100724-v16.indd 815-100724-v16.indd 81 11-Jul-24 4:25:08 PM11-Jul-24 4:25:08 PM","73 DEVOTIONAL PATHS TO THE DIVINE A Closer Look: Kabir was brought up in a family of Muslim or weavers settled in or near the city of Benares (Varanasi). We have little reliable information about his life. We get to know of his ideas from a vast collection of verses called and said to have been composed by him and sung by wandering singers. Some of these were later collected and preserved in the and . In search of the True Lord Here is a composition of Kabir: O Allah-Ram present in all living beings Have mercy on your servants, O Lord! Why bump your head on the ground, Why bathe your body in water? You kill and you call yourself “humble” But your vices you conceal. Twenty-four times the Brahmana keeps the ekadasi fast While the Qazi observes the Ramzan Tell me why does he set aside the eleven months To seek spiritual fruit in the twelfth? Hari dwells in the East, they say And Allah resides in the West, Search for him in your heart, in the heart of your heart;"
"Based on the provided context, a hagiography is not explicitly mentioned. However, within the document, you can find descriptions of religious publications, such as Persian and Urdu translations of holy scriptures, printed religious newspapers and tracts, and fatwas (Islamic legal opinions) explaining Islamic doctrines. These texts were likely meant to promote or celebrate the life and teachings of a notable individual, but since ""hagiography"" is not explicitly mentioned, it cannot be conclusively identified in this context.","Based on the provided context, a hagiography is not mentioned. The context discusses Muslim dynasties, seminaries, and print media in relation to their interpretation of Islamic faith and laws. There is no mention of hagiography in this context. Therefore, I cannot provide an answer based on this text.","of Muslim d ynasties. T hey f eared tha t colonial r ulers would encourage conversion, change the Muslim personal laws. To counter this, they used cheap lithographic presses, published Persian and Urdu translations of holy scriptures, and printed religious newspapers and tracts. The Deoband Seminary, founded in 1867, published thousands upon thousands of fatwas telling Muslim readers how to conduct themselves in their everyday lives, and explaining the meanings of Islamic doctrines . All through the nineteenth century, a n umber of Muslim sects and seminaries appeared, each with a different interpretation of faith, each keen on enlarging its following and countering the influence of its opponents. Urdu print helped them conduct these battles in public. Among Hindus, too, print encouraged the reading of religious texts, especially in the vernacular languages. The first printed edition of New words Ulama – Legal scholars of Islam and the sharia ( a body of Islamic law)

","215 Offshoot: A thing that develops from something else. Orchard: An enclosed piece of land planted with fruit trees. Oversee: To supervise a person or persons and their work. Parallels of latitude: Imaginary lines on the surface of the Earth that run east to west, parallel to the Equator, and indicate how far north or south a point on the Earth’s surface is from the Equator. Paraphrase: To express the meaning of something written or spoken, but using different words, especially to achieve greater clarity or to summarise. Pasteurisation: A process by which milk is preserved by heating it to a specific temperature to kill harmful bacteria. Payment in kind: A non-cash payment received for the work performed. Perceive: To be aware of something or someone. Perceptible: That can be seen, heard, felt, tasted, smelled, or somehow noticed. Perspective: The way you see or think about some issue. Pigment: A substance that gives something a particular colour when it is

","employer to the worker for a specific period of time. Warehouse: A large building used for storing products before they are sold, used or rented out. Wealth: An abundance of valuable possessions. Weaving: Forming cloth by interlacing threads of yarn. Welfare: Health, prosperity and well- being. Widespread: Found or distributed over a large area or number of people. Worldview: A certain view or understanding of the world, its origin or workings. Note: The definitions in this Glossary have been simplified keeping in mind the Grade and the particular context in which the words defined are used in this textbook. Glossary and Image Credits_100724.indd 217Glossary and Image Credits_100724.indd 217 11-Jul-24 4:30:33 PM11-Jul-24 4:30:33 PM"
"According to the provided context, it was the wealthy individuals (patrons) who built temples for the Bhakti saints. Specifically, Virashaiva vachanas by Basavanna mention that ""The rich, Will make temples for Shiva."" There is no mention of dynasties being involved in building these temples.","According to the given context, the dynasties that built temples for the Bhakti saints were not explicitly mentioned. However, it is mentioned that Virashaiva vachanas by Basavanna state: ""The rich, Will make temples for Shiva."" This suggests that wealthy individuals or patrons (not necessarily dynasties) might have supported the construction of temples for Bhakti saints.","One of the major developments of this period was the emergence of the idea of bhakti – of a loving, personal deity that devotees could reach without the aid of priests or elaborate rituals. You will be learning about this, and other traditions, in Chapter 6. Find out whether and for how long your state was a part of these
pan-regional empires. Do you remember what Amir Khusrau had to say regarding Sanskrit, knowledge and Brahmanas? Patron wealthy individual who supports another person – an artiste, a craftsperson, a learned man, or a noble.","regional tradition of bhakti focused on the Vitthala (a form of Vishnu) temple in Pandharpur, as well as on the notion of a personal god residing in the hearts of all people. These saint-poets rejected all forms of ritualism, outward display of piety and social differences based on birth. In fact, they even rejected the idea of renunciation and preferred to live with their families, earning their livelihood like any other person, while humbly serving fellow human beings in need. A new humanist idea emerged as they insisted that bhakti

","65 DEVOTIONAL PATHS TO THE DIVINE ? Virashaiva vachanas These are vachanas or sayings attributed to Basavanna: The rich, Will make temples for Shiva. What shall I, A poor man, Do? My legs are pillars, The body the shrine, The head a cupola Of gold. Listen, O Lord of the meeting rivers, Things standing shall fall, But the moving ever shall stay. What is the temple that Basavanna is offering to God? Bhakti Movement in the Decean From the thirteenth to the seventeenth centuries, Maharashtra saw a great number of saint-poets, whose songs in simple Marathi continue to inspire people. The most important among them were Dnyaneshwar (Gyaneshwar), Namdev, Eknath and Tukaram as well as women like Sakhubai and the family of Chokhamela, who belonged to the “untouchable” Mahar caste. This regional tradition of bhakti focused on the Vitthala (a form of Vishnu) temple in Pandharpur, as well as on the notion of a personal god residing in the hearts of all people."
